receiver,posWeight,negWeight,relPrereq,eventsInMemory,globalAndMapEvents,relatedTopics,trait,responseTone,portrait,locations,speakerId,dialogue,effect_addEventToGlobal,effect_addEventToMap,effect_addToNPCMemory,effect_addToPlayerMemory,effect_relationshipEffect,effect_makeMostRelevantTopic,effect_closeTopic,effect_exit,effect_item
no_receiver,,,,CustodiansDaughter:Gift/CustodiansInterest:Baking,,BefriendingCustodian,,,,Floor1,custodian,Yes... I plan to bake her a cake...,,,,,,,,,
no_receiver,,,,CustodiansDaughter:Gift,,BefriendingCustodian,,,,Floor1,custodian,Yes... but what I plan to do is a secret...,,,,,,,,,
no_receiver,,,,PlayerAskedDirectorWhereabouts:Reason/ArtifactNotFound,,LookingForDirector/MissingArtifact,gruff/impatient/loner,,,,custodian,Yeah{comma} I got that. Can't help you{comma} though. I don't know where the boss has gone.,,,,,,,,,
no_receiver,,,,PlayerAskedDirectorWhereabouts:Reason/ArtifactNotFound,,LookingForDirector/MissingArtifact,friendly/frazzled,,,,custodian,Right{comma} but I'm not sure where Director Virgil went today. Last I saw him was yesterday.,,,,,,,,,
no_receiver,,,,PlayerAskedDirectorWhereabouts:Reason/ArtifactNotFound,,LookingForDirector/MissingArtifact,eloquent,,,,custodian,I know{comma} I'm sorry. You'll have to ask someone else{comma} as I don't know anything right now.,,,,,,,,,
no_receiver,,,,PlayerAskedDirectorWhereabouts:Reason,,LookingForDirector/MissingArtifact,gruff/impatient/loner,,,,custodian,Damn{comma} miss Cass'll blow her fuse if she finds out. That plinth seemed important to her.,,,,,,,,,
no_receiver,,,,PlayerAskedDirectorWhereabouts:Reason,,LookingForDirector/MissingArtifact,friendly/frazzled,,,,custodian,Really? I hope you're not panicking too much{comma} I'll help out when I can.,,,,,,,,,
no_receiver,,,,PlayerAskedDirectorWhereabouts:Reason,,LookingForDirector/MissingArtifact,eloquent,,,,custodian,I'll be sure to keep an eye out.,,,,,,,,,
no_receiver,,,,LockedDoor,,LockedDoor,gruff/impatient/loner,,,,custodian,Absolutely not. Scram{comma} I got work to do.,,,DeclinedToHelp/PlayerAskedForHelp,DeclinedToHelp:custodian,,,,,
no_receiver,,,,LockedDoor,,LockedDoor,eloquent,,,,custodian,Of course not! Do you think I don't value this museum's security?,,,DeclinedToHelp/PlayerAskedForHelp,DeclinedToHelp:custodian,,,,,
no_receiver,,,,LockedDoor,,LockedDoor,friendly/frazzled,,,,custodian,No way. I'm sorry{comma} Enid{comma} you're great{comma} but I can't do that for you.,,,DeclinedToHelp/PlayerAskedForHelp,DeclinedToHelp:custodian,,,,,
